Total Length of Fwd Packets,Bwd Packet Length Max,Bwd Packet Length Std,Flow Bytes/s,Label
88.0,94.0,0.0,22183,0
43906.0,1068.0,362.5285381,40879,1
102.0,112.0,0.0,28285,0
383.0,370.0,185.0,75434,1
384.0,48.0,0.0,589,0
512.0,1418.0,0.0,81355,0
64.0,48.0,0.0,76296,0
78.0,103.0,0.0,13504,0
162.0,131.0,0.0,25203,0
447.0,530.0,265.0,25013,2
48783.0,1870.0,481.1069628000001,41985,3
537.0,1881.0,1085.995856,53195,2
102.0,112.0,0.0,28123,0
64.0,79.0,0.0,79482,0
383.0,370.0,185.0,75965,1
602.0,364.0,182.0,4323,1
68.0,66.0,0.0,71510,0
216.0,97.0,0.0,27820,0
5927.0,2896.0,961.5663665,8613,1
3126.0,1514.0,737.0046197,60769,0
165.0,163.0,94.10809388,52145,0
43951.0,1068.0,362.8557995,42436,1
64.0,79.0,0.0,13006,0
43906.0,1068.0,362.4108198,43094,1
602.0,364.0,182.0,4319,1
68.0,95.0,0.0,80208,0
336.0,48.0,0.0,408,0
64.0,88.0,0.0,74759,0
6.0,6.0,0.0,20150,0
460.0,1840.0,920.0,51281,2
43906.0,1068.0,362.5879501,41091,1
740.0,3883.0,1538.284813,17828,3
80.0,90.0,0.0,10379,0
480.0,48.0,0.0,72576,0
37362.0,1869.0,291.63391960000007,41326,3
537.0,1881.0,940.5,52869,2
64.0,48.0,0.0,2320,0
602.0,364.0,182.0,10740,1
88.0,94.0,0.0,13344,0
88.0,94.0,0.0,13535,0
383.0,370.0,185.0,70711,1
64.0,79.0,0.0,7554,0
672.0,48.0,0.0,8293,0
76.0,88.0,0.0,15936,0
383.0,370.0,185.0,70720,1
3150.0,1576.0,813.8429005,58447,0
336.0,48.0,0.0,72549,0
602.0,364.0,182.0,4289,1
759.0,5330.0,2321.9678719999997,4551,3
88.0,94.0,0.0,23027,0
6.0,6.0,0.0,8476,0
48.0,24.0,0.0,52015,0
383.0,370.0,185.0,75920,1
43951.0,1068.0,362.6983735,42955,1
599.0,2021.0,1166.8248939999999,56349,2
64.0,48.0,0.0,885,0
102.0,112.0,0.0,19800,0
5814.0,2634.0,781.4038161000003,33150,0
68.0,95.0,0.0,80776,0
43951.0,1068.0,362.6796194,42845,1
4176.0,210.0,89.21475622,15229,0
5056.0,129.0,65.12142505,66043,0
5812.0,2634.0,647.3378672,58995,0
64.0,48.0,0.0,71333,0
43906.0,1068.0,362.54078910000004,42054,1
43951.0,1067.0,362.80584730000004,42934,1
80.0,106.0,0.0,13111,0
2210.0,307.0,98.30258742,49738,0
602.0,364.0,182.0,4309,1
78.0,103.0,0.0,9174,0
46.0,98.0,0.0,13801,0
170.0,135.0,0.0,30397,0
384.0,48.0,0.0,590,0
64.0,79.0,0.0,13251,0
88.0,94.0,0.0,12253,0
43906.0,1067.0,362.5876556,40860,1
602.0,364.0,182.0,4321,1
43906.0,1068.0,362.6183987,41984,1
43951.0,1068.0,362.6429619,41497,1
102.0,112.0,0.0,24740,0
358.0,763.0,381.5,30157,1
78.0,103.0,0.0,41945,0
384.0,48.0,0.0,67162,0
383.0,370.0,185.0,70737,1
414.0,163.0,0.0,56622,0
64.0,48.0,0.0,74528,0
384.0,48.0,0.0,4666,0
500.0,1430.0,0.0,54147,0
602.0,364.0,182.0,9907,1
43951.0,1068.0,362.7467756,41951,1
88.0,94.0,0.0,20595,0
68.0,66.0,0.0,71833,0
43951.0,1068.0,362.7983226,41439,1
64.0,48.0,0.0,2605,0
64.0,79.0,0.0,79974,0
64.0,48.0,0.0,77957,0
64.0,48.0,0.0,78927,0
2054.0,268.0,78.54053339,22336,0
88.0,94.0,0.0,22370,0
43906.0,1068.0,362.5309215,40892,1
490.0,207.0,119.5115057,20119,0
48695.0,1869.0,335.6885881,41135,3
68.0,95.0,0.0,75240,0
88.0,94.0,0.0,13344,0
6.0,6.0,0.0,49831,0
64.0,48.0,0.0,70827,0
364.0,179.0,0.0,15975,0
1184.0,344.0,156.9276448,77554,0
43951.0,1068.0,362.6301552,42933,1
352.0,179.0,0.0,10275,0
43951.0,1068.0,362.69944419999996,41657,1
6.0,6.0,0.0,76693,0
88.0,94.0,0.0,18685,0
48.0,24.0,0.0,61718,0
86.0,104.0,0.0,22871,0
600.0,2701.0,1302.376642,79570,2
490.0,207.0,119.5115057,19068,0
43951.0,1068.0,362.6596586,42763,1
512.0,1418.0,0.0,53804,0
43906.0,1068.0,362.5597996,42041,1
