Total Length of Fwd Packets,Bwd Packet Length Max,Bwd Packet Length Std,Flow Bytes/s,Label
9668.0,923.0,231.0809507,21523,0
11364.0,1139.0,208.2612942,29192,0
2330.0,1460.0,653.5941656,3963,0
102.0,161.0,0.0,18276,0
46.0,98.0,0.0,1120,0
672.0,48.0,0.0,8293,0
68.0,66.0,0.0,71789,0
46.0,98.0,0.0,14756,0
68.0,95.0,0.0,80776,0
68.0,95.0,0.0,75240,0
68.0,66.0,0.0,71510,0
172.0,163.0,94.10809388,1714,0
3150.0,1576.0,769.0092575,56328,0
3450.0,3069.0,1009.026507,43705,0
3150.0,1576.0,813.8429005,58447,0
17896.0,3069.0,470.0420357,45094,0
64.0,48.0,0.0,70007,0
102.0,112.0,0.0,21095,0
88.0,94.0,0.0,14421,0
64.0,48.0,0.0,70827,0
102.0,112.0,0.0,19194,0
116.0,29.0,0.0,65017,0
64.0,79.0,0.0,13251,0
64.0,48.0,0.0,74528,0
88.0,94.0,0.0,20595,0
88.0,94.0,0.0,13142,0
88.0,94.0,0.0,19199,0
64.0,79.0,0.0,12314,0
64.0,79.0,0.0,13251,0
64.0,79.0,0.0,13470,0
500.0,1430.0,0.0,32094,0
88.0,94.0,0.0,12777,0
102.0,112.0,0.0,19949,0
64.0,79.0,0.0,12534,0
64.0,79.0,0.0,79346,0
352.0,179.0,0.0,21292,0
88.0,94.0,0.0,13535,0
88.0,94.0,0.0,12987,0
80.0,90.0,0.0,3447,0
500.0,1430.0,0.0,54147,0
88.0,94.0,0.0,12253,0
64.0,48.0,0.0,70827,0
64.0,79.0,0.0,13470,0
102.0,112.0,0.0,19800,0
64.0,48.0,0.0,70979,0
102.0,112.0,0.0,21246,0
88.0,94.0,0.0,13890,0
352.0,179.0,0.0,10275,0
102.0,112.0,0.0,17949,0
142.0,121.0,0.0,23813,0
64.0,48.0,0.0,71333,0
64.0,48.0,0.0,70007,0
80.0,90.0,0.0,9767,0
64.0,48.0,0.0,70827,0
88.0,94.0,0.0,13142,0
88.0,94.0,0.0,10671,0
64.0,79.0,0.0,13470,0
88.0,94.0,0.0,19554,0
165.0,163.0,94.10809388,9616,0
3150.0,1576.0,813.8429005,60098,0
13380.0,3069.0,517.8473276999998,32914,0
48.0,24.0,0.0,52015,0
78.0,103.0,0.0,43986,0
88.0,94.0,0.0,13742,0
88.0,94.0,0.0,14568,0
78.0,151.0,0.0,45257,0
78.0,94.0,0.0,58259,0
102.0,112.0,0.0,21432,0
138.0,119.0,0.0,28976,0
78.0,103.0,0.0,7455,0
102.0,112.0,0.0,19347,0
64.0,48.0,0.0,70827,0
88.0,94.0,0.0,13344,0
64.0,48.0,0.0,70439,0
78.0,103.0,0.0,43691,0
76.0,88.0,0.0,9500,0
78.0,94.0,0.0,5108,0
48.0,24.0,0.0,57075,0
64.0,80.0,0.0,79446,0
64.0,79.0,0.0,13251,0
48.0,24.0,0.0,61718,0
64.0,79.0,0.0,13006,0
64.0,48.0,0.0,71333,0
352.0,179.0,0.0,22374,0
64.0,88.0,0.0,81136,0
64.0,79.0,0.0,12314,0
88.0,94.0,0.0,20269,0
102.0,112.0,0.0,28123,0
48.0,24.0,0.0,57359,0
64.0,48.0,0.0,69680,0
88.0,94.0,0.0,13344,0
78.0,103.0,0.0,41945,0
78.0,94.0,0.0,5441,0
80.0,90.0,0.0,15660,0
500.0,1430.0,0.0,52565,0
64.0,79.0,0.0,13905,0
88.0,94.0,0.0,13890,0
480.0,48.0,0.0,72608,0
480.0,48.0,0.0,72575,0
480.0,48.0,0.0,72576,0
432.0,48.0,0.0,367,0
144.0,48.0,0.0,16634,0
384.0,48.0,0.0,77376,0
384.0,48.0,0.0,4666,0
165.0,163.0,94.10809388,12830,0
3110.0,1554.0,802.4821493,58526,0
172.0,163.0,94.10809388,5841,0
165.0,163.0,94.10809388,52145,0
3110.0,1554.0,802.4821493,60415,0
3186.0,1592.0,822.105265,58289,0
9714.0,3069.0,682.4404381,24026,0
15266.0,3069.0,477.7866937,41134,0
88.0,94.0,0.0,15469,0
88.0,94.0,0.0,18483,0
142.0,121.0,0.0,31160,0
76.0,88.0,0.0,15936,0
64.0,48.0,0.0,885,0
46.0,98.0,0.0,13801,0
102.0,112.0,0.0,23837,0
80.0,90.0,0.0,11700,0
88.0,94.0,0.0,18995,0
88.0,94.0,0.0,28214,0
64.0,48.0,0.0,65324,0
512.0,1418.0,0.0,81355,0
64.0,48.0,0.0,72342,0
64.0,79.0,0.0,80337,0
64.0,79.0,0.0,9675,0
80.0,90.0,0.0,19397,0
88.0,94.0,0.0,18126,0
64.0,48.0,0.0,2320,0
88.0,94.0,0.0,23027,0
102.0,112.0,0.0,28285,0
102.0,112.0,0.0,27756,0
2944.0,289.0,0.0,45168,0
68.0,95.0,0.0,80208,0
64.0,48.0,0.0,72342,0
64.0,79.0,0.0,7554,0
64.0,48.0,0.0,79365,0
64.0,79.0,0.0,79482,0
88.0,94.0,0.0,19554,0
64.0,48.0,0.0,77957,0
348.0,179.0,0.0,13949,0
64.0,79.0,0.0,9675,0
64.0,79.0,0.0,13644,0
80.0,90.0,0.0,15660,0
64.0,48.0,0.0,2320,0
88.0,94.0,0.0,8009,0
88.0,94.0,0.0,14954,0
88.0,94.0,0.0,20080,0
142.0,121.0,0.0,29219,0
102.0,112.0,0.0,23265,0
64.0,48.0,0.0,79836,0
102.0,112.0,0.0,3822,0
64.0,48.0,0.0,78652,0
88.0,94.0,0.0,20595,0
64.0,79.0,0.0,4052,0
68.0,66.0,0.0,5749,0
64.0,48.0,0.0,79554,0
102.0,112.0,0.0,27462,0
88.0,94.0,0.0,12987,0
54.0,27.0,0.0,63291,0
348.0,179.0,0.0,24823,0
496.0,1410.0,0.0,45534,0
88.0,94.0,0.0,21248,0
64.0,79.0,0.0,79845,0
88.0,94.0,0.0,20595,0
64.0,48.0,0.0,78202,0
46.0,98.0,0.0,10355,0
102.0,112.0,0.0,24740,0
88.0,94.0,0.0,8916,0
64.0,79.0,0.0,79974,0
2944.0,289.0,0.0,43687,0
102.0,112.0,0.0,25370,0
102.0,112.0,0.0,18424,0
88.0,94.0,0.0,13535,0
102.0,112.0,0.0,38574,0
80.0,90.0,0.0,10379,0
80.0,90.0,0.0,21424,0
88.0,94.0,0.0,21455,0
102.0,112.0,0.0,3909,0
68.0,66.0,0.0,71833,0
364.0,179.0,0.0,15975,0
64.0,48.0,0.0,5574,0
88.0,94.0,0.0,22183,0
102.0,112.0,0.0,4542,0
88.0,94.0,0.0,19915,0
2944.0,337.0,0.0,44315,0
64.0,79.0,0.0,77079,0
138.0,119.0,0.0,29637,0
88.0,94.0,0.0,17823,0
64.0,79.0,0.0,11239,0
88.0,94.0,0.0,22370,0
496.0,1410.0,0.0,51992,0
68.0,95.0,0.0,4418,0
64.0,79.0,0.0,13006,0
68.0,95.0,0.0,8476,0
68.0,66.0,0.0,80569,0
336.0,48.0,0.0,72549,0
96.0,48.0,0.0,26588,0
336.0,48.0,0.0,77358,0
144.0,48.0,0.0,67822,0
432.0,48.0,0.0,4944,0
204.0,95.0,0.0,19291,0
78.0,103.0,0.0,5845,0
78.0,94.0,0.0,1737,0
384.0,48.0,0.0,4636,0
384.0,48.0,0.0,590,0
78.0,94.0,0.0,78922,0
78.0,103.0,0.0,9311,0
192.0,48.0,0.0,54460,0
384.0,48.0,0.0,4774,0
384.0,48.0,0.0,532,0
384.0,48.0,0.0,528,0
78.0,151.0,0.0,14962,0
78.0,103.0,0.0,13504,0
484.0,207.0,119.5115057,20951,0
656.0,1556.0,898.3570189,50765,0
3254.0,1577.0,812.814534,65827,0
484.0,207.0,119.5115057,21111,0
2054.0,268.0,78.54053339,22336,0
